,Cybersecurity Resources for 911 Centers,cybersecurity-resources-for-9-1-1-centers_112023_508_0.pdf,2023,Cybersecurity & Infrastructure Security Agency,"Outlines resources available (e.g., cybersecurity advisors, emergency communications coordinators, reviews/assessments, reporting and awareness systems, technical guidance)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Cybersecurity Awareness in the PSAP,syllabus_-_cybersecurity_awa.pdf,,National Emergency Number Association,Syllabus for a course offered by NENA - may want to see if we can ask them for the resources they use for the course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Infrastructure Survey Tool,infrastructure_survey_tool_ist_fact_sheet-2023.pdf,2023,Cybersecurity & Infrastructure Security Agency,Tool available upon request to check both information sharing as well as physical security posture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Principles for the Secure Integration of Artificial Intelligence in Operational Technology,joint-guidance-principles-for-the-secure-integration-of-artificial-intelligence-in-operational-technology-508cV2.pdf,2025,CISA | ASD’s ACSC | NSA AISC | FBI | Cyber Centre | BSI | NCSC-NL | NCSC-NZ | NCSC-UK,Key principles to leverage the benefits of AI in operational technology systems while reducing risk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Malware Attacks: Lessons Learned from an ECC,22_0414_cyber_incident_case_studies_malware_final_508c.pdf,2022,SAFECOM/NCSWIC,"The impacts, response, long-term recovery, and the lessons learned from an ECC's experience with a malware attack in 2019.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Cyber Incident Response to Public Safety Answering Points: A State’s Perspective,22_0414_cyber_incident_case_studies_state_final_508c.pdf,2022,SAFECOM/NCSWIC,"This case study highlights one state’s response to cyber incidents involving PSAPs, including the legislation surrounding their authority, the collaboration required for a successful response, and best practices for entities preparing for cyberattacks. The Cybersecurity and Infrastructure Security Agency (CISA), SAFECOM, and National Council of Statewide Interoperability Coordinators (NCSWIC) collaborated with state public safety and emergency communications stakeholders to develop the case study and share lessons learned from responding to cyber incidents. This document provides actionable tips to help emergency communications centers (ECCs)/PSAPs prepare for and respond to cyber incidents.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Cybersecurity Performance Goals,Cybersecurity Performance Goals 2.0 (CPG 2.0) | CISA,,Cybersecurity & Infrastructure Security Agency,"The CPGs 2.0 are voluntary practices with high-impact security actions that outline the highest-priority baseline that measures businesses and critical infrastructure owners of all sizes can take to protect themselves against cyber threats. They were developed based on CISA’s operational data, research on the current threat landscape, and collaboration with government, industry groups, and private sector experts to receive input and feedback.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Cyber Essentials Starter Kit: The Basics for Building a Culture of Cyber Readiness,https://www.cisa.gov/sites/default/files/publications/Cyber%2520Essentials%2520Starter%2520Kit_03.12.2021_508_0.pdf,2021,Cybersecurity & Infrastructure Security Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"REPORT ON SECURITY RISKS AND BEST PRACTICES FOR MITIGATION IN 9-1-1 IN LEGACY, TRANSITIONAL, AND NG 9-1-1 IMPLEMENTATIONS",csric7_report_secuirtyrisk-bestpracticesmitigation-legacytransitionalng911.pdf,2020,"COMMUNICATIONS SECURITY, RELIABILITY, AND INTEROPERABILITY COUNCIL VII","The Commission specifically directed the CSRIC VII to publish a Report on Security Risks and Best Practices for Mitigation in 9-1-1 in Legacy, Transitional, and NG9-1-1 Implementations, measuring the risk magnitude and remediation costs within those networks. This report represents the second of three reports on 911 Security Vulnerabilities during the IP Transition and is focused on measuring the security risk within 9-1-1 networks.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Cybersecurity,Cybersecurity - APCO International,,APCO International,What to do if you're experiencing a cyberattack and cybersecurity courses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Public Safety Cybersecurity,Public Safety Cybersecurity Working Group,,National Public Safety Telecommunications Council,Cybersecurity working group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Cybersecurity Incident & Vulnerability Response Playbooks,https://www.cisa.gov/sites/default/files/2024-08/Federal_Government_Cybersecurity_Incident_and_Vulnerability_Response_Playbooks_508C.pdf,2021,Cybersecurity & Infrastructure Security Agency,Operational Procedures for Planning and Conducting Cybersecurity Incident and Vulnerability Response Activities in FCEB Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,CISA Regional Offices,CISA Regions | CISA,2021,Cybersecurity & Infrastructure Security Agency,CISA Regional Offices; link to security directors within each region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,CISA Regional Office 1,Region 1 | Cybersecurity and Infrastructure Security Agency CISA,2021,Cybersecurity & Infrastructure Security Agency,CISA Regional Offices; link to security directors within each region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,CISA Regional Office 2,Region 2 | Cybersecurity and Infrastructure Security Agency CISA,2021,Cybersecurity & Infrastructure Security Agency,CISA Regional Offices; link to security directors within each region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,CISA Regional Office 3,Region 3 | Cybersecurity and Infrastructure Security Agency CISA,2021,Cybersecurity & Infrastructure Security Agency,CISA Regional Offices; link to security directors within each region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,CISA Regional Office 4,Region 4 | Cybersecurity and Infrastructure Security Agency CISA,2021,Cybersecurity & Infrastructure Security Agency,CISA Regional Offices; link to security directors within each region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,CISA Regional Office 5,Region 5 | Cybersecurity and Infrastructure Security Agency CISA,2021,Cybersecurity & Infrastructure Security Agency,CISA Regional Offices; link to security directors within each region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,CISA Regional Office 6,Region 6 | Cybersecurity and Infrastructure Security Agency CISA,2021,Cybersecurity & Infrastructure Security Agency,CISA Regional Offices; link to security directors within each region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,CISA Regional Office 7,Region 7 | Cybersecurity and Infrastructure Security Agency CISA,2021,Cybersecurity & Infrastructure Security Agency,CISA Regional Offices; link to security directors within each region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,CISA Regional Office 8,Region 8 | Cybersecurity and Infrastructure Security Agency CISA,2021,Cybersecurity & Infrastructure Security Agency,CISA Regional Offices; link to security directors within each region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,CISA Regional Office 9,Region 9 | Cybersecurity and Infrastructure Security Agency CISA,2021,Cybersecurity & Infrastructure Security Agency,CISA Regional Offices; link to security directors within each region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,CISA Regional Office 10,Region 10 | Cybersecurity and Infrastructure Security Agency CISA,2021,Cybersecurity & Infrastructure Security Agency,CISA Regional Offices; link to security directors within each region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,NENA Security for Next Generation 9-1-1 Standard (NG-SEC),STA-040.2-2024_SecurityforNG.pdf,2024,National Emergency Number Association,Establish the minimal guidelines and requirements for the protection of NG9-1-1 assets or elements within a changing business environment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,NIST CSF 2.0 Crosswalk NENA-REF-013.1-2025,NIST_CSF_2.0_Crosswalk__NENA.pdf,2025,National Emergency Number Association,This REF (NENA Reference Publication) is a companion to the NENA-STA-040.2 NENA Security for Next Generation 9-1-1 Standard (NG-SEC) and provides a crosswalk between NIST CSF 2.0 and NENA-STA-040.2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,11 Strategies of a World Class Cybersecurity Operations Center,11-strategies-of-a-world-class-cybersecurity-operations-center.pdf,2022,MITRE,Strategies for a cybersecurity operations center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Framework for Improving Critical Infrastructure Cybersecurity,NIST.CSWP.04162018.pdf,2018,NIST,improve cybersecurity risk management in critical infrastructure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,CISA Incident Reporting System,IRF Incident Reporting Start - IRF,,Cybersecurity & Infrastructure Security Agency,"The CISA Incident Reporting System provides a secure web-enabled means of reporting computer security incidents to CISA. This system assists analysts in providing timely handling of your security incidents as well as the ability to conduct improved analysis. If you would like to report a computer security incident, please complete the following form. Please provide as much information as you can to answer the following questions to allow CISA to understand your incident.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,CISA Emergency Communication,https://www.cisa.gov/topics/emergency-communications,,Cybersecurity & Infrastructure Security Agency,"Cybersecurity resources, assessment tools, and incident response guidelines specifically for ECC/PSAP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Cybersecurity Resource Library for State and Local Governments,https://www.dhs.gov/topics/cybersecurity,,Department of Homeland Security,"Threat models, typical vulnerabilities, and best practices for public safety communication systems",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,NIST Cybersecurity Framework (CSF 2.0),https://www.nist.gov/cyberframework,,National Institute of Standards and Technology,critical infrastructure cybersecurity baseline framework,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,MS-ISAC Cybersecurity Guide for Emergency Services,https://www.cisecurity.org/ms-isac,,Multi-State Information Sharing and Analysis Center,incident reporting?PSAP ransomware defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,NG911 Cybersecurity Primer,https://www.911.gov/assets/OEC_NG911_Cybersecurity_Primer_041216_508_compliant.pdf,2016,National 911 Program,"NG911 threats, vulnerabilities, and mitigation framework",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Cybersecurity Resources for 9-1-1 Centers (Fact Sheet),https://www.cisa.gov/resources-tools/resources/cybersecurity-resources-9-1-1-centers,,Cybersecurity & Infrastructure Security Agency,"federal cybersecurity advisors, preparedness assessments, incident coordination resources for PSAPs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"FCC Security Risks and Best Practices for Legacy, Transitional and NG911 Networks",https://www.fcc.gov/sites/default/files/csric7_report_secuirtyrisk-bestpracticesmitigation-legacytransitionalng911.pdf,,Federal Communications Commission,official cybersecurity best-practice recommendations for 911 networks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Cybersecurity Issue Page for 911 Systems,https://www.911.gov/issues/cybersecurity/,2024,National 911 Program,overview of cyber threats to PSAPs including autodial flooding and data corruption risks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Cybersecurity for PSAPs – Best Practices,https://www.co911rc.org/hot-topics/cybersecurity,,Colorado 911 Resource Center,operational PSAP cybersecurity checklists and reporting practices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Cybersecurity Best Practices for Next-Gen 911 Networks,https://publicsafety.ieee.org/topics/cybersecurity-best-practices-for-next-gen-911-protecting-emergency-communication-networks/,,IEEE Public Safety Technology Initiative,vulnerabilities and defensive architecture in NG911 networks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Defense Blueprint for PSAP Cybersecurity,https://domesticpreparedness.com/articles/next-generation-911-in-public-safety-infrastructure-cybersecurity//,,DomesticPreparedness,"layered security architecture including MFA, role-based access, and identity protection",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,FCC NG911 Reliability Requirements Overview,https://commlawgroup.com/2024/navigating-the-fccs-911-reliability-requirements/,,FCC policy analysis,"reliability certification, outage protection, redundancy requirements",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Trust Service Criteria (TSCs) for SOC 2 Reports,https://linfordco.com/blog/trust-services-critieria-principles-soc-2/,2023,Linford & co llp,Common SOC 2 procedures and TSC criteria.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,SOC for Cybersecurity & SOC 2® for Service Organizations – An empirical study on industry’s perspective,https://www.researchgate.net/publication/378442852_SOC_for_Cybersecurity_SOC_2R_for_Service_Organizations_-_An_empirical_study_on_industry%27s_perspective?utm_source=chatgpt.com,2021,"Journal of Accounting, Finance, Economics, and Social Sciences",Cybersecurity solutions and posturing from a service organization's perspective.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"VENDOR RISK MANAGEMENT IN CLOUD-CENTRIC ARCHITECTURES: A SYSTEMATIC REVIEW OF SOC 2, FEDRAMP, AND ISO 27001 PRACTICES",https://www.researchgate.net/publication/395552652_VENDOR_RISK_MANAGEMENT_IN_CLOUD-CENTRIC_ARCHITECTURES_A_SYSTEMATIC_REVIEW_OF_SOC_2_FEDRAMP_AND_ISO_27001_PRACTICES,2024,Webster University,Vendor risk management in public-sector cloud architectures.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2018 SOC 2® Description Criteria (With Revised Implementation Guidance – 2022),https://www.aicpa-cima.com/resources/download/get-description-criteria-for-your-organizations-soc-2-r-report?,,AICPA,Highly comprehensive and free to access SOC 2 guidelines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Illustrative SOC 2® Report with Illustrative System Description,https://www.aicpa-cima.com/resources/download/illustrative-soc-2-r-report-with-description-and-assertion?,2023,AICPA,Looks comprehensive but requires a subscription.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,"SOC 2® Reporting on an Examination of Controls at a Service Organization Relevant to Security, Availability, Processing Integrity, Confidentiality, or Privacy",https://www.aicpa-cima.com/cpe-learning/publication/soc-2-reporting-on-an-examination-of-controls-at-a-service-organization-relevant-to-security-availability-processing-integrity-confidentiality-or-privacy,2022,AICPA,Looks comprehensive but requires a subscription.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,SOC 2: System and Organization Controls Reporting,https://kpmg.com/kpmg-us/content/dam/kpmg/pdf/2025/033144-1a-soc2-system-organization-controls-reporting-whitepaper-v6.pdf,2025,KPMG,Steps for planning for a SOC 2 audit.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,"AICPA Guide: SOC 2® Reporting on an Examination of Controls at a Service Organization Relevant to Security, Availability, Processing Integrity, Confidentiality, or Privacy",https://dart.deloitte.com/USDART/home/auditing/aicpa/audit-accounting-guides-audit-risk-alerts/soc-2-reporting,2025,Deloitte,Looks comprehensive but requires a subscription.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,AICPA Statement on Standards for Attestation Engagements No. 18,https://www.aicpa-cima.com/resources/download/aicpa-statement-on-standards-for-attestation-engagements-no-18,2023,AICPA,SSAE No. 18 information.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,NIST 800-39,https://nvlpubs.nist.gov/nistpubs/legacy/sp/nistspecialpublication800-39.pdf,2011,National Institute of Standards and Technology,Information Security Document used by 911 of Alabama.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,NIST 800-60,https://nvlpubs.nist.gov/nistpubs/legacy/sp/nistspecialpublication800-60v2r1.pdf,2008,National Institute of Standards and Technology,Mapping information into security categories.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,NIST 800-52A Revision 5,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-53Ar5.pdf,2022,National Institute of Standards and Technology,Security and Privacy Controls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,The NIST Cybersecurity Framework,https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.29.pdf,2024,National Institute of Standards and Technology,Industry guidance on cybersecurity risks.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,NIST 800-37,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-37r2.pdf,.,National Institute of Standards and Technology,Risk Management Frameworks in Information Systems.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
